name,address,cost_per_two,timings,category,cusine,detailed_address,featured_in,discount
Subway,Infocity,₹500,11am – 12midnight (Mon-Sun),Quick Bites,"Healthy Food,Sandwich,Salad,Wraps,Fast Food"," Shop 1, Super Mall 1, Infocity, Gandhinagar",,NULL
Spices & Herbs,Infocity,₹700,"12noon – 3pm, 7pm – 11pm (Mon-Sun)",Casual Dining,"North Indian,Mexican,Chinese"," Swagat Rainforest 2, Opposite Swaminarayan Dham, Infocity, Gandhinagar","Outdoor Seating,Unique Dining",NULL
Terracotta,Airport Gandhinagar Highway,"₹1,000","12noon – 3pm, 7pm – 11pm (Mon-Sun)",Casual Dining,"North Indian,Italian,Chinese"," A-101, Pramukh Arcade 2, Near Reliance Cross Road, Kudasan, Airport Gandhinagar Highway, Gandhinagar",Best of Ahmedabad,NULL
Creamoholic Cafe & Restaurant,Airport Gandhinagar Highway,₹700,12noon – 6am (Mon-Sun),Café,"Cafe,North Indian,Continental"," G Block, 59/60, Krishna Kunj Complex, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Domino's Pizza,"Sector 11, Gandhinagar",₹600,10:57am – 3am (Mon-Sun),Quick Bites,"Pizza,Fast Food"," 231, Haveli Arcade, Sector 11, Gandhinagar",,NULL
Trupti Ice Cream Parlour,"Sector 16, Gandhinagar",₹250,"10:30am – 10pm (Mon, Tue, Wed, Fri, Sat, Sun)...",Dessert Parlor,"Desserts,Ice Cream"," 382 & 383, Near DCB Bank, Sector 16, Gandhinagar",,NULL
Mocha,Infocity,"₹1,200",12noon – 9:30pm (Mon-Sun),Café,"Cafe,Italian,North Indian,Continental,Beverages,Desserts"," SG Highway, Near Indroda Circle, Infocity, Gandhinagar","Great Coffee,Trending This Week",10% off on all orders above ₹499
Mezza 9,Airport Gandhinagar Highway,₹700,"11am – 3pm, 7pm – 11:30pm (Mon-Sun)",Casual Dining,"North Indian,Beverages"," Plot Radhe Fortune, Near Apollo Circle, Airport Gandhinagar Highway, Gandhinagar",,NULL
La Pino'z Pizza,Airport Gandhinagar Highway,₹800,11am – 11pm (Mon-Sun),Quick Bites,"Pizza,Italian,Fast Food,Desserts,Beverages"," A 139, Pramukh Arcade, Kudasan, Gandhinagar, Airport Gandhinagar Highway, Gandhinagar",Best Pizza in Town,NULL
Bhavnaben Raval,"Chopati, Sector 16",₹300,11am – 11pm (Mon-Sun),Quick Bites,"North Indian,Chinese,South Indian"," Shop 77, Chopati, GH Road, Sector 16, Gandhinagar",,NULL
Cafe Chocoaddict,Airport Gandhinagar Highway,₹400,"12midnight – 12:30am, 11am – 12midnight...",Café,Cafe," 52, Radhe Square Building, Near Reliance Chokdi, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Greenz Restaurant,Infocity,₹700,"11am – 3pm, 7pm – 11pm (Mon-Sun)",Casual Dining,"Chinese,North Indian,Continental"," Near Ved International School, Sargasan Road, Infocity, Gandhinagar",,10% off on all orders
Gurukrupa Food Zone,Airport Gandhinagar Highway,₹400,"11am – 3pm, 6pm – 11pm (Mon-Sun)",Quick Bites,"North Indian,Chinese"," Shop 50, Radhe Square, Near Kabir world, Reliance chowkadi,Kudasan Airport Gandhinagar Highway, Gandhinagar",,20% off on all orders above ₹129
Foodsta,Airport Gandhinagar Highway,₹400,10am – 3am (Mon-Sun),Quick Bites,"North Indian,Chinese,Fast Food"," 51, Radhey Square Complex, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Sardar Foods,Infocity,₹500,"11:30am – 3pm, 7pm – 10:30pm (Mon-Sun)",Quick Bites,"North Indian,Chinese"," Shop 24, Super Mall 2, Gh 0 Circle, Infocity, Gandhinagar",,NULL
Khana Shana,Infocity,₹900,"11:30am – 3pm, 7pm – 10:30pm (Mon-Sun)",Casual Dining,"North Indian,Street Food"," 102 A, Super Mall 1, Infocity, Gandhinagar",,25% off on all orders above ₹150
Hungry Puppet,Airport Gandhinagar Highway,"₹1,000","12noon – 3pm, 7pm – 11pm (Mon-Sun)",Casual Dining,"North Indian,Chinese,Mexican,Fast Food"," Radhe Fortune Complex, Near Balaji Agora Mall, Bhat Circle, Airport Gandhinagar Highway, Gandhinagar",,NULL
7 Wonders Hotel,Airport Gandhinagar Highway,₹900,11am – 10pm (Mon-Sun),Casual Dining,"Fast Food,Chinese,North Indian,Desserts,Beverages"," 7th Floor, Ugti Cooperate Park, Kudasan, Opposite HDFC Bank, Airport Gandhinagar Highway, Gandhinagar",,20% off on all orders above ₹449
Dawat,Infocity,₹700,"12noon – 3pm, 7pm – 10pm (Mon, Tue, Wed, Thu...",Casual Dining,"North Indian,Mughlai,Chinese"," A 11, Super Mall 1, Infocity, Gandhinagar",,10% off on all orders above ₹169
Dilkhush Food Point,Airport Gandhinagar Highway,₹350,"9am – 3:30pm, 6pm – 11pm (Mon-Sun)",Quick Bites,"North Indian,Street Food"," Shop 10, Pramukh Corporate, PDPU Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Savoury Restaurant and Banquet,Infocity,₹600,"11am – 3:30pm, 6:30pm – 11pm (Mon-Sun)",Casual Dining,"North Indian,Chinese"," Atria Business Hub, Sargasan Cross Roads, KH-0, S. G. Highway, Infocity, Gandhinagar",,NULL
The Chocolate Room,Infocity,₹900,9:30am – 11pm (Mon-Sun),Café,"Cafe,Italian,Mexican,Desserts"," 18/19, Super Mall 2, Infocity, Gandhinagar",,30% off on all orders above ₹299
Mr. & Mrs. Idly,Infocity,₹300,11am – 11pm (Mon-Sun),Quick Bites,South Indian," Shop 29, Supermall 1, Infocity, Gandhinagar",,NULL
Sam's Pizza,Infocity,₹600,11am – 11pm (Mon-Sun),Quick Bites,"Pizza,Fast Food"," 101, Super Mall 2, Infocity, Gandhinagar",,NULL
Dadi Sa Restaurant,"Sector 16, Gandhinagar",₹600,"11am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",Casual Dining,"North Indian,Chinese,Fast Food"," Plot 286, Gh 4, Sector 16, Gandhinagar",,NULL
Dum ka Zaika- Narayani Heights,Airport Gandhinagar Highway,"₹1,300","12noon – 3pm, 7pm – 11pm (Mon-Sun)",Fine Dining,"Mughlai,North Indian,South Indian"," Narayani Heights, Near Apollo Hospital, Airport Gandhinagar Highway, Gandhinagar","Flavours of Punjab,Fancy and Fun",NULL
Sankalp,Infocity,₹500,11am – 11pm (Mon-Sun),Casual Dining,"South Indian,Beverages,Ice Cream"," 101, Super Mall 1, Near Gh 0 Circle, Infocity, Gandhinagar",,25% off on all orders above ₹199
Green Apple Restaurant,"Sector 16, Gandhinagar",₹600,"10:30am – 3pm, 6:30pm – 10pm (Mon-Sun)",Casual Dining,"North Indian,Chinese"," 1st Floor, GH-4II, Near Gandhinagar Nagarik Bank, Sector 16, Gandhinagar",,NULL
Pirate King's Kitchen,Airport Gandhinagar Highway,₹500,8pm – 4am (Mon-Sun),NULL,"North Indian,Chinese"," Shop 12, 1st Floor, Aawaass Coconut, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Faasos,Airport Gandhinagar Highway,₹600,7am – 1am (Mon-Sun),NULL,"Wraps,North Indian,Biryani,Fast Food", Delivery Only,,NULL
Kaka Kathiyawadi,Airport Gandhinagar Highway,₹400,"11:30am – 4pm, 6:30pm – 10:30pm (Mon-Sun)",Casual Dining,"North Indian,Gujarati"," 104, Radhe Square, Reliance Cross Road, Kudasan, Gandhinagar",,NULL
Tuli's Restaurant,Airport Gandhinagar Highway,₹600,11am – 11pm (Mon-Sun),Casual Dining,"Bengali,North Indian,Chinese"," 36, 37, Pramukh Arcade, Airport Gandhinagar Highway, Gandhinagar",,NULL
Marigold Restaurant,"Sector 16, Gandhinagar",₹600,"10:30am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",Casual Dining,"North Indian,Chinese,South Indian"," Plot 281, GH Road, Sector 16, Gandhinagar",,NULL
Hocco Eatery,Infocity,₹700,10am – 1am (Mon-Sun),Quick Bites,"Pizza,Sandwich,Fast Food,Biryani,Wraps,Beverages"," SHOP NO 11 12 GROUND FLOOR INFOCITY SUPER MALL GANDHINAGAR, Gandhinagar Municipal Corporation (Gujarat) - 382007",,NULL
Midnight Scorer,Infocity,₹400,8am – 5am (Mon-Sun),Quick Bites,Fast Food," Shop 26, Shree Rang Plaza, Dholeswar Mahadev, Randesan Infocity, Gandhinagar",,NULL
56 Bhog,Infocity,₹600,"11am – 2:30pm, 7pm – 10pm (Mon-Sun)",Casual Dining,"Gujarati,North Indian"," F1-F2, Siddhraj Zavod, Near Sargassan Cross Roads, Infocity, Gandhinagar",,NULL
Megh Malhar Fancy Dosa,Airport Gandhinagar Highway,₹300,11am – 11pm (Mon-Sun),Quick Bites,South Indian," Radhe Square Complex, Opposite NID College, Reliance Crossroads. 
Kudasan, Airport Gandhinagar Highway, Gandhinagar",,20% off on all orders
Balista,Airport Gandhinagar Highway,₹500,11am – 10pm (Mon-Sun),Quick Bites,"Italian,Wraps,Sandwich"," Shop 24, Pramukh Cyprus, Shahpur Sargasan Road, Opposite Aska Hospital, Kundasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Behrouz Biryani,Airport Gandhinagar Highway,₹550,10am – 1am (Mon-Sun),NULL,Biryani," C-19-20, Swagat Rainforest 2, Village Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Pooja Parlour,"Sector 21, Gandhinagar",₹200,10am – 10pm (Mon-Sun),Quick Bites,Street Food," B/8, District Shopping Center, Sector 21, Gandhinagar",Street Food,NULL
Satkar Garden Restaurant,Infocity,₹700,"11am – 3pm, 6:30pm – 10pm (Mon, Tue, Thu, Fri...",Casual Dining,"North Indian,Gujarati,Chinese,Mexican,Beverages"," Near Suyash Elegance, Kudasan, Infocity, Gandhinagar",,NULL
Blue Crunch,"Sector 21, Gandhinagar",₹200,10am – 12midnight (Mon-Sun),Dessert Parlor,"Desserts,Ice Cream"," Gh-5, Kapidhvaj Complex, Near IBP Petrol Pump, Sector-22, Near Sector 21, Gandhinagar",,NULL
Khanasutra,Airport Gandhinagar Highway,₹550,7pm – 4am (Mon-Sun),Quick Bites,"North Indian,Chinese,Fast Food"," 101,Shyam Sukan Complex, Bhaijipura Cross Road, Airport Gandhinagar Highway, Gandhinagar, Ahmedabad.",,NULL
Furat Restaurant,Airport Gandhinagar Highway,₹600,"11am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",Casual Dining,"North Indian,Chinese,Fast Food"," Pramukh Arcade, Opposite NID, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Alfa,"Sector 16, Gandhinagar",₹750,"11:30am – 3:30pm, 6:30pm – 11pm (Mon-Sun)",Casual Dining,"North Indian,Mughlai"," 316-317, Shopping Centre, Sector 16, Gandhinagar",,10% off on all orders
Zayka,Infocity,₹350,11am – 11pm (Mon-Sun),Quick Bites,"North Indian,Seafood,Chinese"," Shop 2, Anxy Super Mall, Infocity, Gandhinagar",,NULL
Anki's Cakery,Infocity,₹200,"11am – 8pm (Mon-Sat),12noon – 6pm (Sun)",NULL,"Bakery,Desserts"," B 19, InfoCity Township, InfoCity, Gandhinagar",,NULL
Momoman,Infocity,₹500,11am – 11pm (Mon-Sun),Casual Dining,"Momos,Chinese"," 4/B & 5/B, Super Mall 1, Besides GH-0 Cross Road, Infocity, Gandhinagar",,NULL
Wooddy Jhone's Pizza,Airport Gandhinagar Highway,₹500,"11am – 11pm (Mon-Sat),11am – 12:30am (Sun)",Quick Bites,"Pizza,Fast Food"," A 101/104, Atria The Bussiness Hub, Sargasan Cross Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Radhe Sweets And Snacks,"Sector 11, Gandhinagar",₹250,9:30am – 8pm (Mon-Sun),Sweet Shop,"Mithai,Fast Food,Street Food,Gujarati"," 231, Haveli Extension, Sector 11, Gandhinagar",Sweet Tooth,10% off on all orders
Rajvee Food Corner,Airport Gandhinagar Highway,₹600,"11am – 3pm, 7pm – 10:30pm (Mon-Sun)",Casual Dining,"Chinese,Fast Food,Gujarati,North Indian"," Shop 1, Ground Floor, Pratik Mall, Near City Pulse, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Saffron,Infocity,₹800,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",Casual Dining,"North Indian,Chinese,Biryani"," 118, First Floor, Super Mall 2, Infocity, Gandhinagar",,NULL
Hogger's Den,Airport Gandhinagar Highway,₹300,7pm – 11pm (Mon-Sun),Food Truck,Fast Food," Raysan Bus Stand, Service Road Kudasan, Gandhinagar Highway, Gandhinagar",,NULL
Fits Food,Airport Gandhinagar Highway,₹350,"10am – 10pm (Mon-Sat),Closed (Sun)",NULL,"Healthy Food,Fast Food,Beverages"," Shop 151, 1st Floor, Radhe Square, Cross Road, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Some Place Else,Infocity,₹600,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",Casual Dining,"North Indian,Italian,Mexican,Chinese"," 117, Super Mall-2, Infocity, Gandhinagar",,NULL
Koba Social,Airport Gandhinagar Highway,₹700,5pm – 1am (Mon-Sun),Casual Dining,"Italian,Mexican,North Indian"," Service Lane, From Koba Circle, Towards Kamalam, Airport Gandhinagar Highway, Gandhinagar",,NULL
